C0 (4060 genes)	C1 (1821 genes)	C2 (1008 genes)	C3 (1919 genes)	C4 (4920 genes)	C5 (2858 genes)	C6 (1913 genes)	C7 (256 genes)
Pele_DN1694_c0_g1_i12	Pele_DN306709_c0_g1_i1	Pele_DN785_c0_g1_i1	Pele_DN3334_c1_g2_i1	Pele_DN16331_c0_g2_i4	Pele_DN2037_c0_g1_i1	Pele_DN2850_c0_g1_i6	
Pele_DN1694_c0_g1_i23	Pele_DN30730_c0_g2_i1	Pele_DN78864_c0_g1_i10	Pele_DN33755_c0_g1_i2	Pele_DN16357_c0_g1_i3	Pele_DN203_c0_g1_i10	Pele_DN2858_c3_g1_i2	
Pele_DN1694_c0_g1_i28	Pele_DN3077_c0_g1_i3	Pele_DN78_c1_g1_i18	Pele_DN3380_c0_g1_i11	Pele_DN1636_c0_g1_i1	Pele_DN20445_c0_g1_i2	Pele_DN2863_c0_g1_i18	
Pele_DN1694_c0_g1_i36	Pele_DN3077_c0_g1_i8	Pele_DN78_c1_g1_i20	Pele_DN3383_c1_g1_i6	Pele_DN1636_c0_g1_i29	Pele_DN2047_c2_g1_i1	Pele_DN2865_c0_g2_i1	
Pele_DN1694_c0_g1_i45	Pele_DN30784_c0_g1_i3	Pele_DN78_c1_g1_i26	Pele_DN3426_c0_g1_i26	Pele_DN16464_c0_g1_i1	Pele_DN2052_c0_g1_i11	Pele_DN2866_c2_g1_i10	
Pele_DN16983_c0_g1_i2	Pele_DN30784_c0_g1_i6	Pele_DN801_c0_g1_i13	Pele_DN34288_c0_g1_i1	Pele_DN16510_c0_g1_i9	Pele_DN2052_c0_g1_i15	Pele_DN29162_c0_g1_i9	
Pele_DN16983_c0_g1_i5	Pele_DN3080_c0_g1_i28	Pele_DN8031_c0_g1_i7	Pele_DN34635_c1_g1_i2	Pele_DN16546_c0_g1_i8	Pele_DN2052_c0_g1_i2	Pele_DN292576_c0_g1_i1	
Pele_DN16983_c0_g1_i7	Pele_DN3092_c0_g1_i6	Pele_DN8085_c0_g1_i1	Pele_DN34647_c0_g1_i1	Pele_DN1654_c0_g1_i1	Pele_DN20532_c1_g1_i1	Pele_DN29523_c0_g1_i10	
Pele_DN16983_c0_g1_i8	Pele_DN30988_c0_g1_i1	Pele_DN8087_c0_g1_i1	Pele_DN3470_c0_g1_i3	Pele_DN1656_c0_g1_i11	Pele_DN2067_c0_g1_i6	Pele_DN2966_c0_g1_i2	
Pele_DN1701_c0_g1_i1	Pele_DN30_c1_g1_i11	Pele_DN8087_c0_g1_i39	Pele_DN3534_c1_g1_i1	Pele_DN16591_c0_g1_i11	Pele_DN2074_c0_g2_i3	Pele_DN2979_c0_g1_i1	
Pele_DN17024_c0_g1_i2	Pele_DN31007_c0_g1_i30	Pele_DN8197_c0_g1_i1	Pele_DN35448_c2_g1_i7	Pele_DN16634_c0_g1_i1	Pele_DN2102_c1_g1_i5	Pele_DN2985_c0_g1_i4	
Pele_DN1703_c0_g1_i1	Pele_DN31117_c0_g1_i14	Pele_DN8401_c0_g1_i1	Pele_DN3557_c1_g1_i13	Pele_DN16658_c0_g2_i2	Pele_DN2104_c0_g1_i12	Pele_DN29963_c0_g1_i26	
Pele_DN1704_c0_g1_i1	Pele_DN31527_c0_g1_i11	Pele_DN84243_c0_g1_i1	Pele_DN3561_c1_g1_i24	Pele_DN166610_c0_g1_i1	Pele_DN2114_c0_g2_i4	Pele_DN29971_c0_g1_i1	
Pele_DN1706_c0_g1_i13	Pele_DN3155_c0_g1_i6	Pele_DN8678_c0_g1_i1	Pele_DN364794_c0_g1_i3	Pele_DN16699_c1_g1_i5	Pele_DN21205_c0_g2_i2	Pele_DN2_c3_g1_i12	
Pele_DN17076_c0_g1_i1	Pele_DN3157_c0_g1_i2	Pele_DN876_c0_g1_i5	Pele_DN36757_c0_g1_i1	Pele_DN16709_c0_g1_i1	Pele_DN2130_c4_g1_i1	Pele_DN30500_c0_g1_i19	
Pele_DN17231_c0_g2_i1	Pele_DN3158_c0_g1_i21	Pele_DN8966_c0_g1_i12	Pele_DN3697_c0_g1_i1	Pele_DN1672_c2_g1_i2	Pele_DN2139_c0_g1_i5	Pele_DN30545_c0_g2_i12	
Pele_DN17231_c0_g2_i5	Pele_DN31833_c0_g1_i1	Pele_DN8966_c0_g1_i2	Pele_DN3703_c0_g1_i21	Pele_DN16740_c1_g1_i3	Pele_DN21424_c0_g1_i1	Pele_DN30628_c0_g1_i4	
Pele_DN1726_c0_g1_i3	Pele_DN31974_c0_g1_i3	Pele_DN9000_c0_g1_i3	Pele_DN37169_c0_g3_i8	Pele_DN16797_c0_g1_i4	Pele_DN2144_c3_g1_i1	Pele_DN306693_c0_g1_i1	
Pele_DN1737_c0_g1_i27	Pele_DN31989_c0_g1_i15	Pele_DN9156_c0_g1_i12	Pele_DN37227_c0_g3_i9	Pele_DN16844_c2_g1_i4	Pele_DN2148_c0_g2_i2	Pele_DN30770_c0_g1_i10	
Pele_DN1738_c0_g1_i15	Pele_DN32014_c0_g1_i10	Pele_DN91996_c0_g1_i2	Pele_DN3733_c0_g1_i4	Pele_DN16852_c0_g1_i1	Pele_DN21591_c0_g1_i33	Pele_DN30799_c0_g1_i10	
Pele_DN1738_c0_g1_i16	Pele_DN32050_c4_g1_i4	Pele_DN92362_c0_g1_i1	Pele_DN3739_c1_g2_i5	Pele_DN16891_c0_g1_i6	Pele_DN2162_c0_g1_i15	Pele_DN3099_c1_g1_i10	
Pele_DN17438_c0_g1_i3	Pele_DN3211_c0_g1_i8	Pele_DN9263_c0_g1_i1	Pele_DN3744_c0_g1_i5	Pele_DN1695_c5_g1_i1	Pele_DN2168_c0_g2_i21	Pele_DN30_c2_g1_i3	
Pele_DN17476_c0_g1_i12	Pele_DN32144_c0_g1_i10	Pele_DN9300_c0_g2_i1	Pele_DN3787_c0_g1_i15	Pele_DN17008_c0_g1_i10	Pele_DN2172_c0_g1_i5	Pele_DN30_c4_g1_i4	
Pele_DN1748_c0_g1_i17	Pele_DN32149_c0_g2_i10	Pele_DN9361_c1_g2_i1	Pele_DN3787_c0_g1_i4	Pele_DN17008_c0_g1_i8	Pele_DN2173_c5_g1_i13	Pele_DN31107_c0_g1_i18	
Pele_DN17545_c0_g1_i1	Pele_DN32258_c0_g1_i1	Pele_DN9525_c1_g2_i3	Pele_DN3817_c1_g1_i9	Pele_DN17009_c0_g3_i2	Pele_DN2174_c0_g2_i2	Pele_DN3125_c0_g1_i14	
Pele_DN17558_c0_g2_i6	Pele_DN32277_c0_g1_i1	Pele_DN95448_c0_g1_i1	Pele_DN3822_c0_g2_i17	Pele_DN17053_c0_g1_i16	Pele_DN21751_c0_g1_i17	Pele_DN3125_c0_g1_i19	
Pele_DN17573_c0_g1_i1	Pele_DN3229_c0_g1_i28	Pele_DN95690_c0_g1_i1	Pele_DN3825_c1_g1_i10	Pele_DN1707_c0_g1_i14	Pele_DN21857_c0_g1_i2	Pele_DN3125_c0_g1_i6	
Pele_DN17623_c0_g2_i1	Pele_DN32500_c0_g1_i7	Pele_DN968_c0_g1_i4	Pele_DN3832_c0_g1_i47	Pele_DN17154_c0_g1_i2	Pele_DN2197_c0_g2_i11	Pele_DN3125_c0_g1_i8	
Pele_DN17643_c2_g1_i2	Pele_DN3258_c0_g1_i4	Pele_DN971_c0_g2_i3	Pele_DN383_c4_g1_i1	Pele_DN17190_c0_g1_i4	Pele_DN2204_c1_g1_i8	Pele_DN3140_c2_g1_i4	
Pele_DN17709_c0_g1_i1	Pele_DN32917_c0_g1_i4	Pele_NODE_100077_length_1245_cov_470.399317_g47123_i0	Pele_DN38441_c1_g1_i1	Pele_DN17192_c1_g1_i18	Pele_DN22138_c0_g1_i4	Pele_DN31424_c0_g1_i1	
Pele_DN17771_c0_g1_i3	Pele_DN32961_c0_g1_i1	Pele_NODE_100083_length_1245_cov_224.718430_g47124_i0	Pele_DN3871_c0_g1_i28	Pele_DN1719_c0_g1_i4	Pele_DN2244_c0_g2_i8	Pele_DN31431_c0_g1_i9	
Pele_DN17847_c0_g1_i1	Pele_DN3296_c0_g1_i17	Pele_NODE_10072_length_4594_cov_68.210131_g4742_i0	Pele_DN38727_c0_g1_i18	Pele_DN17205_c0_g1_i5	Pele_DN2245_c0_g1_i13	Pele_DN3162_c0_g1_i1	
Pele_DN17856_c0_g1_i3	Pele_DN3296_c0_g1_i6	Pele_NODE_100935_length_1235_cov_65.654905_g34621_i2	Pele_DN38754_c0_g1_i4	Pele_DN1721_c1_g1_i3	Pele_DN2245_c0_g1_i25	Pele_DN317_c1_g1_i33	
Pele_DN17921_c0_g2_i2	Pele_DN33401_c0_g1_i4	Pele_NODE_101308_length_1230_cov_99.588591_g47854_i0	Pele_DN388_c0_g1_i24	Pele_DN1722_c1_g1_i4	Pele_DN2245_c1_g1_i6	Pele_DN31889_c0_g1_i1	
Pele_DN17974_c0_g1_i11	Pele_DN33409_c0_g1_i7	Pele_NODE_101351_length_1229_cov_1021.378893_g38581_i2	Pele_DN39028_c0_g1_i15	Pele_DN17262_c0_g1_i2	Pele_DN22463_c0_g1_i5	Pele_DN3192_c0_g1_i17	
Pele_DN17980_c0_g1_i1	Pele_DN3377_c0_g1_i1	Pele_NODE_101536_length_1227_cov_35.325823_g47975_i0	Pele_DN3906_c1_g2_i2	Pele_DN17268_c2_g1_i1	Pele_DN22530_c0_g1_i5	Pele_DN3211_c0_g1_i11	
Pele_DN18002_c0_g1_i9	Pele_DN33809_c0_g1_i1	Pele_NODE_101600_length_1226_cov_52.105811_g48012_i0	Pele_DN39556_c0_g1_i1	Pele_DN1726_c0_g1_i19	Pele_DN2258_c0_g2_i5	Pele_DN3217_c0_g2_i1	
Pele_DN18028_c0_g1_i3	Pele_DN33875_c0_g1_i1	Pele_NODE_1022_length_8435_cov_106.814757_g431_i4	Pele_DN39793_c0_g1_i10	Pele_DN17307_c0_g2_i1	Pele_DN225_c0_g1_i41	Pele_DN3219_c0_g1_i21	
Pele_DN18046_c0_g1_i75	Pele_DN3390_c0_g1_i5	Pele_NODE_102418_length_1215_cov_410.035902_g48500_i0	Pele_DN397_c1_g1_i15	Pele_DN17321_c0_g1_i4	Pele_DN22641_c0_g1_i3	Pele_DN32419_c0_g1_i2	
Pele_DN18062_c0_g1_i2	Pele_DN3392_c0_g1_i1	Pele_NODE_102449_length_1215_cov_35.528897_g48513_i0	Pele_DN3988_c0_g1_i4	Pele_DN1735_c2_g1_i3	Pele_DN22689_c0_g1_i3	Pele_DN32462_c0_g1_i1	
Pele_DN18138_c0_g1_i8	Pele_DN3402_c0_g1_i8	Pele_NODE_102497_length_1214_cov_192.507450_g17884_i1	Pele_DN4002_c0_g1_i11	Pele_DN17361_c0_g1_i7	Pele_DN2278_c0_g1_i3	Pele_DN325334_c0_g1_i1	
Pele_DN1819_c0_g1_i14	Pele_DN34107_c0_g2_i1	Pele_NODE_102614_length_1212_cov_1508.160667_g48622_i0	Pele_DN402_c0_g1_i2	Pele_DN1747_c1_g1_i29	Pele_DN22808_c0_g2_i3	Pele_DN32604_c0_g1_i1	
Pele_DN1819_c0_g1_i15	Pele_DN34153_c0_g1_i11	Pele_NODE_10306_length_4560_cov_116.703588_g4842_i0	Pele_DN402_c1_g1_i4	Pele_DN17491_c0_g1_i6	Pele_DN22833_c2_g1_i7	Pele_DN32751_c0_g1_i1	
Pele_DN1819_c0_g1_i30	Pele_DN341765_c0_g1_i1	Pele_NODE_103215_length_1205_cov_48.704947_g48974_i0	Pele_DN4067_c0_g1_i8	Pele_DN17559_c0_g1_i9	Pele_DN22938_c0_g4_i1	Pele_DN32938_c0_g1_i3	
Pele_DN1819_c0_g1_i32	Pele_DN341948_c0_g1_i2	Pele_NODE_103225_length_1205_cov_29.259717_g48980_i0	Pele_DN4071_c1_g1_i1	Pele_DN1755_c0_g1_i2	Pele_DN22951_c0_g1_i8	Pele_DN32994_c0_g1_i1	
Pele_DN1819_c0_g1_i8	Pele_DN342430_c0_g1_i3	Pele_NODE_10330_length_4556_cov_58.080303_g4855_i0	Pele_DN4077_c0_g1_i10	Pele_DN1762_c0_g1_i21	Pele_DN22973_c0_g1_i8	Pele_DN32_c14_g1_i4	
Pele_DN1819_c0_g1_i9	Pele_DN34330_c0_g1_i2	Pele_NODE_103625_length_1200_cov_87.402839_g49239_i0	Pele_DN40826_c0_g1_i1	Pele_DN1763_c0_g1_i2	Pele_DN23025_c0_g3_i2	Pele_DN33102_c0_g1_i12	
Pele_DN18203_c0_g1_i1	Pele_DN343625_c0_g1_i1	Pele_NODE_104788_length_1185_cov_403.415468_g49976_i0	Pele_DN4091_c0_g1_i1	Pele_DN17774_c0_g1_i8	Pele_DN2308_c0_g1_i2	Pele_DN33280_c0_g1_i5	
Pele_DN1820_c0_g1_i17	Pele_DN34440_c1_g1_i11	Pele_NODE_105234_length_1180_cov_12.850949_g50263_i0	Pele_DN4161_c1_g1_i14	Pele_DN17803_c0_g1_i5	Pele_DN2308_c0_g1_i3	Pele_DN3330_c0_g1_i25	
Pele_DN18253_c0_g1_i1	Pele_DN34536_c0_g1_i2	Pele_NODE_10571_length_4520_cov_440.611873_g4965_i0	Pele_DN4175_c0_g1_i12	Pele_DN1784_c6_g1_i8	Pele_DN23129_c0_g1_i27	Pele_DN33359_c0_g1_i8	
Pele_DN18281_c0_g2_i2	Pele_DN3456_c0_g1_i8	Pele_NODE_1057_length_8385_cov_70.754451_g578_i1	Pele_DN42426_c0_g1_i1	Pele_DN1785_c0_g1_i17	Pele_DN2314_c0_g1_i15	Pele_DN33508_c0_g1_i6	
Pele_DN18341_c0_g1_i3	Pele_DN345829_c0_g1_i1	Pele_NODE_105886_length_1172_cov_27.363057_g50677_i0	Pele_DN42485_c0_g1_i2	Pele_DN17860_c1_g2_i4	Pele_DN2315_c0_g1_i10	Pele_DN3354_c0_g1_i21	
Pele_DN183_c0_g1_i100	Pele_DN347567_c0_g1_i1	Pele_NODE_105954_length_1171_cov_238.897996_g50722_i0	Pele_DN42580_c0_g1_i19	Pele_DN1788_c0_g1_i24	Pele_DN23362_c1_g2_i1	Pele_DN3358_c0_g1_i4	
Pele_DN183_c0_g1_i32	Pele_DN347_c0_g1_i10	Pele_NODE_1063_length_8382_cov_75.094115_g603_i0	Pele_DN42817_c0_g1_i17	Pele_DN1788_c0_g1_i7	Pele_DN2352_c0_g2_i1	Pele_DN33818_c0_g1_i1	
Pele_DN1840_c0_g1_i21	Pele_DN347_c0_g1_i13	Pele_NODE_106434_length_1165_cov_160.429487_g38745_i3	Pele_DN42883_c1_g1_i2	Pele_DN178_c0_g1_i11	Pele_DN2361_c0_g1_i10	Pele_DN3387_c0_g1_i44	
Pele_DN18447_c0_g1_i1	Pele_DN349024_c0_g1_i1	Pele_NODE_106449_length_1165_cov_30.074176_g51040_i0	Pele_DN42955_c0_g2_i1	Pele_DN178_c0_g1_i17	Pele_DN23666_c0_g1_i1	Pele_DN34056_c0_g1_i4	
Pele_DN18452_c0_g2_i3	Pele_DN3490_c0_g1_i12	Pele_NODE_106604_length_1163_cov_34.525688_g51147_i0	Pele_DN4326_c1_g1_i1	Pele_DN178_c0_g1_i19	Pele_DN23680_c0_g1_i3	Pele_DN34168_c0_g1_i7	
Pele_DN18524_c0_g1_i4	Pele_DN35051_c1_g1_i1	Pele_NODE_106772_length_1161_cov_17.727941_g51252_i0	Pele_DN4377_c4_g1_i1	Pele_DN17901_c0_g1_i11	Pele_DN23854_c0_g1_i15	Pele_DN342703_c0_g1_i1	
Pele_DN18566_c0_g1_i1	Pele_DN350537_c0_g1_i1	Pele_NODE_107057_length_1157_cov_1050.739852_g51443_i0	Pele_DN43792_c0_g1_i1	Pele_DN1791_c0_g1_i6	Pele_DN23854_c0_g1_i9	Pele_DN3432_c0_g1_i2	
Pele_DN18608_c0_g2_i1	Pele_DN35169_c0_g1_i1	Pele_NODE_107765_length_1149_cov_472.858736_g51885_i0	Pele_DN4398_c0_g2_i10	Pele_DN1792_c0_g1_i1	Pele_DN23925_c0_g1_i7	Pele_DN34450_c1_g2_i4	
Pele_DN18638_c0_g1_i2	Pele_DN355543_c0_g1_i2	Pele_NODE_107824_length_1148_cov_17448.729302_g14821_i5	Pele_DN4402_c0_g1_i11	Pele_DN1792_c0_g1_i9	Pele_DN2411_c3_g1_i2	Pele_DN3446_c14_g2_i3	
Pele_DN18661_c0_g1_i13	Pele_DN35864_c0_g1_i1	Pele_NODE_108513_length_1140_cov_462.737582_g52355_i0	Pele_DN4427_c0_g1_i11	Pele_DN17936_c0_g1_i20	Pele_DN2413_c2_g1_i14	Pele_DN34781_c1_g1_i3	
Pele_DN18759_c0_g1_i8	Pele_DN36041_c0_g1_i1	Pele_NODE_108772_length_1137_cov_2434.526316_g50772_i2	Pele_DN4432_c0_g1_i4	Pele_DN1795_c0_g1_i4	Pele_DN24213_c0_g2_i4	Pele_DN3482_c1_g1_i7	
Pele_DN18764_c0_g1_i3	Pele_DN36171_c0_g1_i1	Pele_NODE_108982_length_1135_cov_61.454802_g52629_i0	Pele_DN4444_c0_g1_i10	Pele_DN17974_c0_g2_i1	Pele_DN24268_c0_g1_i11	Pele_DN3494_c0_g1_i4	
Pele_DN18775_c0_g2_i1	Pele_DN361_c0_g1_i21	Pele_NODE_109265_length_1131_cov_26262.589792_g41565_i2	Pele_DN4464_c12_g1_i2	Pele_DN1800_c1_g1_i6	Pele_DN24340_c0_g1_i5	Pele_DN34973_c0_g1_i1	
Pele_DN1888_c0_g1_i1	Pele_DN361_c0_g1_i47	Pele_NODE_10943_length_4464_cov_649.732863_g3937_i1	Pele_DN4479_c0_g1_i16	Pele_DN18107_c0_g1_i9	Pele_DN24447_c0_g2_i1	Pele_DN350_c0_g1_i1	
Pele_DN1897_c0_g1_i8	Pele_DN3625_c0_g1_i6	Pele_NODE_109469_length_1129_cov_57.120265_g52928_i0	Pele_DN4479_c0_g1_i19	Pele_DN18158_c0_g1_i7	Pele_DN244954_c0_g1_i1	Pele_DN35163_c0_g1_i21	
Pele_DN18981_c3_g1_i3	Pele_DN36298_c2_g1_i2	Pele_NODE_109793_length_1125_cov_160.434411_g53137_i0	Pele_DN4484_c0_g1_i8	Pele_DN18172_c0_g1_i2	Pele_DN24552_c0_g1_i2	Pele_DN3526_c1_g1_i22	
Pele_DN18997_c0_g2_i1	Pele_DN3642_c0_g1_i1	Pele_NODE_110576_length_1116_cov_42.164909_g53641_i0	Pele_DN448_c1_g1_i10	Pele_DN1818_c4_g2_i3	Pele_DN2459_c0_g2_i1	Pele_DN353199_c0_g1_i1	
Pele_DN18_c1_g1_i16	Pele_DN3659_c0_g1_i6	Pele_NODE_11069_length_4444_cov_156.307024_g5188_i0	Pele_DN448_c1_g1_i20	Pele_DN1830_c0_g1_i44	Pele_DN2476_c0_g1_i16	Pele_DN35689_c0_g1_i10	
Pele_DN1900_c0_g1_i17	Pele_DN3664_c0_g1_i2	Pele_NODE_110726_length_1114_cov_139.807877_g53755_i0	Pele_DN4490_c0_g1_i24	Pele_DN1833_c0_g1_i39	Pele_DN2482_c5_g1_i2	Pele_DN3568_c0_g2_i12	
Pele_DN19058_c0_g1_i6	Pele_DN3677_c0_g1_i7	Pele_NODE_110728_length_1114_cov_128.772334_g53757_i0	Pele_DN4500_c1_g1_i5	Pele_DN1838_c0_g1_i1	Pele_DN24843_c0_g1_i1	Pele_DN357105_c0_g1_i1	
Pele_DN19076_c0_g1_i2	Pele_DN36789_c0_g1_i5	Pele_NODE_111079_length_1110_cov_404.652845_g53979_i0	Pele_DN4515_c0_g1_i26	Pele_DN18437_c0_g1_i16	Pele_DN24877_c0_g1_i2	Pele_DN35832_c0_g1_i3	
Pele_DN19084_c1_g1_i2	Pele_DN3697_c0_g1_i23	Pele_NODE_111194_length_1109_cov_246.772201_g48406_i2	Pele_DN4520_c1_g1_i1	Pele_DN18464_c0_g1_i1	Pele_DN24884_c0_g2_i1	Pele_DN35896_c0_g1_i1	
Pele_DN19156_c0_g1_i1	Pele_DN36993_c0_g2_i1	Pele_NODE_11188_length_4427_cov_46.710152_g5240_i0	Pele_DN456_c0_g2_i12	Pele_DN1846_c1_g1_i21	Pele_DN24998_c0_g1_i5	Pele_DN3600_c0_g1_i10	
Pele_DN19163_c0_g1_i1	Pele_DN3720_c4_g1_i1	Pele_NODE_11192_length_4426_cov_109.156214_g5145_i1	Pele_DN456_c0_g3_i1	Pele_DN1846_c1_g1_i22	Pele_DN25031_c0_g1_i5	Pele_DN36019_c0_g1_i1	
Pele_DN19191_c0_g1_i1	Pele_DN37230_c0_g1_i1	Pele_NODE_112285_length_1097_cov_140.810547_g54770_i0	Pele_DN4596_c1_g1_i1	Pele_DN18486_c0_g1_i1	Pele_DN25124_c0_g2_i5	Pele_DN3611_c0_g1_i35	
Pele_DN19220_c0_g1_i3	Pele_DN37376_c0_g1_i2	Pele_NODE_112301_length_1097_cov_82.755859_g53542_i1	Pele_DN45_c1_g1_i2	Pele_DN184_c3_g1_i10	Pele_DN25124_c0_g2_i9	Pele_DN36122_c0_g1_i10	
Pele_DN19240_c0_g1_i33	Pele_DN37673_c0_g2_i2	Pele_NODE_113668_length_1082_cov_58.601586_g55665_i0	Pele_DN45_c1_g3_i1	Pele_DN18506_c0_g1_i23	Pele_DN25215_c0_g1_i3	Pele_DN36122_c1_g1_i1	
Pele_DN19298_c0_g2_i1	Pele_DN37704_c0_g1_i1	Pele_NODE_114013_length_1078_cov_91.184080_g55895_i0	Pele_DN4636_c1_g1_i22	Pele_DN18506_c0_g1_i89	Pele_DN25357_c2_g1_i1	Pele_DN3661_c0_g3_i2	
Pele_DN19334_c0_g1_i4	Pele_DN3778_c0_g1_i6	Pele_NODE_114024_length_1078_cov_38.687562_g55903_i0	Pele_DN4636_c1_g1_i5	Pele_DN1852_c1_g2_i1	Pele_DN2549_c0_g1_i2	Pele_DN36782_c0_g1_i5	
Pele_DN19370_c0_g1_i1	Pele_DN38094_c0_g1_i1	Pele_NODE_114030_length_1078_cov_26.843781_g55908_i0	Pele_DN465_c1_g1_i13	Pele_DN18579_c0_g1_i7	Pele_DN25626_c0_g1_i1	Pele_DN3679_c0_g1_i12	
Pele_DN19384_c0_g1_i7	Pele_DN3809_c0_g1_i2	Pele_NODE_114093_length_1077_cov_855.588645_g45307_i2	Pele_DN4669_c0_g1_i10	Pele_DN18627_c0_g1_i16	Pele_DN25660_c0_g1_i1	Pele_DN36818_c0_g1_i4	
Pele_DN1941_c1_g1_i2	Pele_DN3809_c0_g1_i3	Pele_NODE_114183_length_1076_cov_440.445663_g56031_i0	Pele_DN4669_c0_g1_i15	Pele_DN18684_c0_g1_i11	Pele_DN25672_c1_g1_i2	Pele_DN3684_c0_g1_i19	
Pele_DN1941_c1_g1_i4	Pele_DN38234_c0_g1_i1	Pele_NODE_114477_length_1073_cov_369.463000_g33440_i5	Pele_DN4669_c0_g1_i8	Pele_DN1868_c0_g1_i1	Pele_DN2567_c1_g1_i6	Pele_DN3692_c5_g1_i9	
Pele_DN19495_c0_g2_i5	Pele_DN38823_c0_g1_i1	Pele_NODE_11474_length_4385_cov_120.789657_g5372_i0	Pele_DN4681_c0_g1_i10	Pele_DN1873_c0_g1_i4	Pele_DN25699_c0_g1_i4	Pele_DN369_c0_g1_i18	
Pele_DN1953_c0_g1_i12	Pele_DN3883_c0_g1_i4	Pele_NODE_11481_length_4384_cov_278.934122_g5375_i0	Pele_DN4683_c0_g1_i5	Pele_DN1874_c6_g1_i1	Pele_DN25721_c0_g1_i2	Pele_DN3704_c0_g1_i4	
Pele_DN1953_c0_g1_i4	Pele_DN3901_c0_g1_i1	Pele_NODE_115223_length_1065_cov_147.738911_g56721_i0	Pele_DN4696_c0_g1_i2	Pele_DN18771_c1_g2_i2	Pele_DN25737_c0_g1_i4	Pele_DN3708_c0_g1_i1	
Pele_DN19593_c0_g1_i1	Pele_DN3919_c10_g2_i4	Pele_NODE_11550_length_4372_cov_322.819028_g5403_i0	Pele_DN46_c0_g1_i1	Pele_DN1880_c0_g1_i3	Pele_DN25756_c0_g1_i6	Pele_DN3710_c0_g1_i10	
Pele_DN1960_c0_g1_i2	Pele_DN3974_c0_g1_i1	Pele_NODE_11572_length_4370_cov_168.833605_g5414_i0	Pele_DN47147_c0_g1_i21	Pele_DN18821_c0_g2_i25	Pele_DN2593_c0_g2_i6	Pele_DN37206_c0_g1_i1	
Pele_DN19660_c0_g2_i5	Pele_DN39816_c0_g1_i9	Pele_NODE_11577_length_4370_cov_27.185478_g5415_i0	Pele_DN4721_c0_g1_i2	Pele_DN1884_c1_g1_i4	Pele_DN26080_c0_g2_i4	Pele_DN3738_c0_g1_i19	
Pele_DN196752_c0_g1_i1	Pele_DN39839_c0_g2_i42	Pele_NODE_11645_length_4360_cov_112.225566_g5444_i0	Pele_DN4736_c2_g1_i3	Pele_DN1884_c1_g1_i6	Pele_DN260_c7_g1_i5	Pele_DN3743_c0_g1_i15	
Pele_DN197564_c0_g1_i1	Pele_DN39949_c0_g1_i3	Pele_NODE_11774_length_4342_cov_30.051066_g5490_i0	Pele_DN4744_c0_g1_i18	Pele_DN18851_c0_g1_i16	Pele_DN26173_c0_g1_i1	Pele_DN3747_c0_g1_i6	
Pele_DN197668_c0_g1_i1	Pele_DN40048_c0_g1_i1	Pele_NODE_118568_length_1029_cov_311.124477_g58993_i0	Pele_DN4766_c0_g2_i1	Pele_DN18876_c0_g1_i1	Pele_DN2619_c1_g2_i9	Pele_DN3770_c0_g1_i3	
Pele_DN1977_c0_g1_i22	Pele_DN40229_c0_g1_i1	Pele_NODE_118658_length_1028_cov_162.079581_g59056_i0	Pele_DN47787_c0_g1_i2	Pele_DN1887_c0_g1_i3	Pele_DN2649_c1_g1_i29	Pele_DN3786_c0_g1_i1	
Pele_DN19796_c1_g1_i2	Pele_DN40235_c0_g1_i1	Pele_NODE_118954_length_1025_cov_283.093487_g59263_i0	Pele_DN4779_c0_g1_i10	Pele_DN1887_c0_g1_i6	Pele_DN26500_c0_g1_i2	Pele_DN38155_c0_g1_i6	
Pele_DN197986_c0_g1_i1	Pele_DN402_c0_g2_i17	Pele_NODE_118982_length_1025_cov_51.297269_g59277_i0	Pele_DN48210_c0_g2_i4	Pele_DN18882_c0_g1_i2	Pele_DN26522_c0_g1_i1	Pele_DN3822_c0_g2_i13	
Pele_DN198201_c0_g1_i1	Pele_DN40349_c0_g1_i1	Pele_NODE_11937_length_4321_cov_368.356874_g3661_i1	Pele_DN4837_c0_g1_i15	Pele_DN18901_c0_g1_i1	Pele_DN26563_c0_g1_i10	Pele_DN3837_c2_g1_i3	
Pele_DN198286_c0_g1_i1	Pele_DN40365_c0_g1_i5	Pele_NODE_120427_length_1010_cov_345.310566_g60302_i0	Pele_DN48558_c0_g1_i4	Pele_DN18922_c0_g1_i1	Pele_DN2659_c0_g1_i7	Pele_DN3846_c0_g1_i11	
Pele_DN198336_c0_g1_i1	Pele_DN40366_c0_g1_i2	Pele_NODE_121240_length_1002_cov_31.261572_g60874_i0	Pele_DN4871_c0_g2_i8	Pele_DN18958_c0_g1_i1	Pele_DN266_c0_g1_i17	Pele_DN3853_c0_g1_i8	
Pele_DN19833_c0_g1_i1	Pele_DN40402_c0_g1_i11	Pele_NODE_12173_length_4290_cov_128.870524_g5661_i0	Pele_DN4873_c0_g1_i2	Pele_DN18958_c0_g1_i6	Pele_DN26711_c0_g1_i11	Pele_DN3869_c3_g1_i12	
Pele_DN198551_c0_g1_i2	Pele_DN40453_c0_g1_i2	Pele_NODE_121814_length_996_cov_32.833153_g61278_i0	Pele_DN4882_c0_g1_i11	Pele_DN18958_c0_g1_i9	Pele_DN2676_c1_g1_i6	Pele_DN3879_c0_g1_i13	
