C0 (4060 genes)	C1 (1821 genes)	C2 (1008 genes)	C3 (1919 genes)	C4 (4920 genes)	C5 (2858 genes)	C6 (1913 genes)	C7 (256 genes)
Pele_DN10377_c0_g1_i1	Pele_DN11038_c0_g1_i10	Pele_DN11879_c0_g1_i15	Pele_DN10713_c1_g1_i26	Pele_DN10353_c0_g1_i1	Pele_DN10274_c0_g1_i9	Pele_DN10853_c0_g1_i15	Pele_DN16898_c0_g1_i5
Pele_DN10395_c0_g1_i3	Pele_DN11156_c0_g1_i2	Pele_DN122790_c0_g1_i1	Pele_DN10729_c1_g1_i3	Pele_DN1038_c1_g1_i1	Pele_DN10283_c0_g1_i1	Pele_DN1085_c3_g1_i5	Pele_DN1712_c0_g1_i14
Pele_DN10405_c0_g1_i14	Pele_DN11261_c0_g2_i1	Pele_DN12319_c0_g1_i1	Pele_DN1076_c0_g1_i21	Pele_DN10396_c1_g1_i6	Pele_DN10302_c0_g1_i3	Pele_DN1086_c0_g1_i5	Pele_DN17352_c0_g1_i1
Pele_DN104255_c0_g1_i1	Pele_DN11279_c0_g1_i12	Pele_DN125024_c0_g1_i1	Pele_DN10801_c1_g1_i11	Pele_DN10397_c0_g1_i5	Pele_DN10307_c0_g1_i10	Pele_DN10917_c0_g1_i9	Pele_DN17491_c0_g1_i13
Pele_DN10436_c0_g1_i1	Pele_DN11410_c0_g1_i17	Pele_DN12513_c0_g1_i6	Pele_DN10811_c0_g1_i16	Pele_DN10398_c0_g1_i12	Pele_DN10307_c0_g3_i2	Pele_DN10935_c0_g1_i6	Pele_DN18932_c1_g1_i2
Pele_DN10440_c0_g1_i3	Pele_DN11431_c0_g1_i21	Pele_DN12694_c2_g1_i7	Pele_DN10839_c0_g1_i2	Pele_DN1040_c0_g1_i1	Pele_DN10337_c0_g1_i13	Pele_DN10938_c0_g1_i10	Pele_DN19727_c1_g2_i1
Pele_DN10444_c0_g1_i13	Pele_DN11477_c0_g1_i7	Pele_DN13009_c0_g1_i3	Pele_DN10_c0_g1_i31	Pele_DN1044_c0_g1_i14	Pele_DN10337_c0_g1_i14	Pele_DN1095_c0_g2_i7	Pele_DN2037_c0_g1_i15
Pele_DN105044_c0_g1_i8	Pele_DN114885_c0_g1_i18	Pele_DN13076_c3_g1_i1	Pele_DN11082_c1_g1_i9	Pele_DN10482_c0_g1_i1	Pele_DN10337_c0_g1_i6	Pele_DN109_c1_g1_i12	Pele_DN20706_c2_g1_i1
Pele_DN1051_c0_g2_i2	Pele_DN114971_c0_g5_i2	Pele_DN130908_c0_g1_i2	Pele_DN11104_c0_g1_i1	Pele_DN10506_c0_g1_i19	Pele_DN10507_c0_g1_i1	Pele_DN1100_c0_g1_i14	Pele_DN212_c0_g1_i3
Pele_DN105546_c2_g1_i1	Pele_DN1150_c2_g1_i15	Pele_DN13093_c0_g1_i1	Pele_DN11189_c0_g1_i5	Pele_DN10506_c0_g1_i4	Pele_DN10507_c0_g1_i6	Pele_DN11018_c1_g1_i15	Pele_DN21848_c0_g1_i15
